mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,134139756.63804507,126522430.03799137,124132679.68765847,123330910.35057254,122356290.72925489,119051393.84617381
22.0,125311803.44036117,119114825.88966748,116596452.19628234,115726571.62026358,114681925.81592782,111526235.1070263
24.0,118453789.03000489,111535772.63496867,109409532.97646895,108702751.11523381,107588502.26242343,104542743.08283626
26.0,111693890.49443305,104755270.03983648,102332204.4134502,101916439.37953833,101046358.00494716,97527273.97804414
28.0,105411990.66907746,98521756.52442987,95759361.19199379,95251659.11037812,94301370.26772717,90844246.93966722
30.0,98275296.02833086,91664208.83388992,89209063.99879622,88404393.8324398,87568450.05011234,84413699.37815769
32.0,91567385.08989772,85056532.74374297,82988026.78266351,82487357.75427125,81844886.78063479,78092691.57786146
34.0,84686511.56935203,78454025.3170005,76427456.38756168,75767190.80813572,75042046.7446991,72021152.76460263
36.0,78439354.07236648,72525217.59096584,70300962.19188419,69787822.45027815,69163059.31752037,65895182.40135559
38.0,72005893.88712785,66221432.28496046,64137601.03732979,63463818.43638132,62813475.86569045,60011917.11047111
40.0,64892776.95113643,59701092.78052391,57805641.74711051,57377465.62429285,56813343.9945425,53953320.79971278
