mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,4264667.68981684,3996337.5830160603,3884675.6618847,3884631.0458482197,3885476.24300952,3884500.43871624
22.0,3465733.69909036,3234054.35916636,3164741.5756487,3160427.4214083394,3162292.46264552,3159472.42224906
24.0,2719160.4102983596,2525728.6693637,2454928.9377083993,2454279.38759194,2456959.43158882,2454330.0065753805
26.0,1966340.3374643798,1773100.5384659003,1720186.4661801201,1716809.65842014,1736287.1768665402,1716721.1778366598
28.0,1153626.1315712999,1001234.86358966,950380.6357464601,948794.56060856,951123.6128657401,947831.4546392399
30.0,369676.26775452,299629.0519215,275076.09063125995,274288.8982856,276477.32128894,273090.30893496
32.0,127954.12273579999,58411.43117972,52977.85879384,54001.900611720004,61310.254515639994,52944.2371558
34.0,67382.7804945,34436.145419140004,32422.492272659998,32442.6254991,36725.5172701,32426.09551556
36.0,49918.120115980004,28639.005260699993,25970.25667692,26129.6060896,26276.7547369,25709.55737614
38.0,197083.83548558,83192.21495964001,31330.039670600003,31370.333213240003,31748.21619382,31318.7186956
40.0,113888.96289804003,35037.79939518,26255.645984879997,26263.580981339997,26799.83765068,26255.853997519996
