coherence_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
2,102706464.2133068,96368938.3797756,88513163.5372378,77219957.91988531,66847048.962232694,47543492.6992859
4,105839153.5740406,99343918.2876533,90725376.11773679,79334958.9021411,65162453.25752471,47721998.1869358
8,105081884.6576334,98372610.49519989,88763422.3873238,76159033.5544765,64044357.660555504,48688982.4136159
16,102977229.932358,95786904.47574921,87268789.15269789,75982050.6459526,63253620.9376093,49031403.4438273
32,110690656.4043676,105503091.9853572,98744426.8551976,87924945.1165836,73273180.37683591,49904996.5671364
64,104504652.37929349,98121843.909872,90124163.5992434,78827764.5076242,68615692.9534309,50738957.6430934
128,104212001.4898625,99172806.9285329,91880448.3093359,81776135.91975519,69694983.1413743,50697834.59707
256,103394910.0733056,98277672.46922371,91111583.6105696,81922259.0650419,70612529.5702556,51207380.5147138
512,104895082.8534723,98455402.7922414,90778129.4507141,82149203.7240756,70960387.0703464,51132162.318607
1024,108265342.8914191,103215572.71091059,97872572.61178419,90393765.81059471,79831067.67237899,51244976.4307665
2048,106687827.4730598,102966269.6950392,98512620.0267325,91878828.6685289,83586320.8505479,51273457.3551306
4096,111572499.2288053,109131528.4432036,105025379.23903301,100611692.6884553,94439555.7750698,50093540.3817529
8192,104744294.7770784,103009066.5368272,102325334.9534812,97433773.9368286,89727278.513978,51545901.360741496
16384,103241562.850326,101696113.59288761,100965125.7253316,99185557.4633235,93895193.0495018,61136030.48869441
32768,116576234.40931189,114141852.82166591,113022725.8255008,111917469.1582336,109133874.5139498,67323632.0113812
65536,108535356.5107716,107096767.6496021,106761858.56558451,107066215.3414484,106925366.72725031,98375644.2643674
