frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,25817240.438658077,1121177
4,25632541.222110245,1047666
8,25969050.356883347,1051117
16,26850207.35961473,1076578
32,25437663.853968017,1033837
64,25904279.93221568,1091307
128,25675775.28435457,1064839
256,27842198.75134428,1050743
512,27901618.75278956,1123017
1024,26885574.249445576,1057021
2048,28751541.493742906,1044347
4096,28020260.662073255,1030985
8192,32360456.900202166,1119826
16384,32429606.32375179,1055699
32768,32969659.0137846,1171203
65536,41102319.1025837,1343328
