frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,24725614.599018,1081912
4,25178939.42766246,1030391
8,25859413.28490604,983250
16,25675793.276632566,1078249
32,27237513.27024846,1076049
64,26523088.259486638,1087370
128,27169221.059707895,1082143
256,27369009.316250544,1068857
512,29075864.923647877,1034127
1024,29059580.5387956,1087843
2048,29731621.658925753,1101324
4096,25284743.471960694,1036434
8192,33450592.20667912,1116910
16384,26888687.978865054,1048373
32768,33780575.82567888,1188504
65536,8558370.659151776,531482
