frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,23739203.761270765,1032579
4,26143652.50004119,1104813
8,26766230.284357656,1038208
16,26356491.20356073,1150603
32,26005140.451263707,1105675
64,25860257.809203103,1044051
128,27369080.47920664,1097233
256,28426375.13630609,1098036
512,29152085.006015558,1128439
1024,27574472.60236025,1054093
2048,29547286.984238196,1153329
4096,31850574.527875695,1202140
8192,23833171.788774885,979037
16384,20064236.737995017,913166
32768,20856616.56620644,1183277
65536,51131805.657050095,989026
