frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,26109129.31906813,1066167
4,25663744.99353884,1085997
8,25231212.063429713,969480
16,27592517.993467394,1072866
32,27037807.747894485,1156780
64,26923310.046529233,1091790
128,27396242.992980152,1059247
256,26520991.803571448,1095057
512,27787877.459595002,1018161
1024,29539628.361339703,1051718
2048,29149225.830601435,1172347
4096,26373778.328802817,1020797
8192,21987556.265826043,972282
16384,25968061.3570818,1060335
32768,28910088.8017802,1055102
65536,43725288.45281351,1002750
