frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,25132294.02141607,1113146
4,24232003.646759216,1095979
8,26958271.669386264,1096991
16,27779733.692463215,1057769
32,26990677.213273104,1116930
64,26565196.432364453,1095683
128,27975172.837560076,1053630
256,28378278.07775098,1169186
512,27442172.198731463,1094706
1024,30884961.170203794,1123799
2048,32016560.783392474,1079252
4096,25994419.44642734,987594
8192,23094684.03774044,1057410
16384,32140189.326192793,1141162
32768,25779318.36463608,1054496
65536,15753177.316537384,646027
