frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,26014148.467392836,1171236
4,25168274.75698078,1166812
8,27460921.53966099,1073358
16,25589615.022079896,1045221
32,26230829.434128594,1063524
64,25879824.329692174,1191026
128,28074852.128740713,1134613
256,28395987.77991435,1118086
512,28958880.480768986,1118261
1024,27194420.986025885,1053914
2048,24995388.809005532,1090874
4096,24134290.645595927,1129289
8192,37829517.05417349,1141075
16384,24759380.082613196,918775
32768,36596557.27902603,1176349
65536,28906435.11362034,1140905
