frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,26331214.409100845,1111135
4,27139924.170122933,1063510
8,26128255.774244614,1087832
16,26305294.30963963,1099623
32,26206360.29782434,1032459
64,25853423.515474137,980225
128,27452453.72132247,1102287
256,28323654.326946795,1180622
512,27611395.989133507,1183287
1024,27221277.34091769,1057267
2048,25216912.19018881,1002515
4096,31339019.474957988,1135618
8192,24263883.64009045,1027742
16384,25115123.67473955,1050010
32768,19439998.70866778,864063
65536,43972348.14416898,1499399
