frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,26579108.767345004,1139905
4,23772276.763780303,1043305
8,26852520.688868765,1113038
16,26710467.541704115,1083145
32,25872395.103694882,1078857
64,26064074.92440217,1033943
128,27346433.26406786,1100816
256,27481295.21256331,1054739
512,27002803.417129267,1067362
1024,27922627.779984586,1062503
2048,30566094.950106107,1089679
4096,28751063.90445091,1034683
8192,22946933.536397364,1023367
16384,27789426.086399663,1068144
32768,46364991.21591664,1256607
65536,28477782.01577593,1108851
