frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,25712425.000039086,1090749
4,25484439.046304844,1229407
8,25861677.32067153,1072778
16,25452473.975733794,1062771
32,26873757.781631563,1116680
64,27070522.977325153,1102226
128,26188780.09133545,1022023
256,26499989.996248566,1141777
512,27636100.735534456,1188126
1024,27568182.61891072,1087292
2048,25445402.618168786,1139246
4096,30263135.170385025,1046533
8192,31071693.781721476,1114100
16384,28669393.792933676,1160570
32768,38722270.489716105,1075883
65536,28175541.312064584,911004
