frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,25145682.324575905,1086848
4,25350476.794547673,1078636
8,25774308.97006562,1090015
16,26124838.591426723,1080375
32,26173334.74943722,1129592
64,26030270.936994184,993466
128,26273134.181217857,1014278
256,28081835.660253692,1106829
512,26697953.15216863,1021170
1024,28472913.058941003,1083071
2048,29218432.644430332,1211883
4096,31530459.100137107,1035212
8192,34190642.31651732,1225843
16384,17848481.018977832,917767
32768,34126505.14786729,1194293
65536,14193541.332965463,768685
