batch,Dynamic,Dynamic_BAL,RFDynamic
1,7677.9753,7677.9753,2568.1850
2,7027.1620,7027.1620,7613.5796
3,15589.7344,15589.7344,15589.7344
4,14516.8395,14516.8395,14516.8395
5,14150.7591,14150.7591,14150.7591
6,18170.3709,18170.3709,18170.3709
7,21411.1408,21411.1408,21411.1408
8,18342.5209,18342.5209,18342.5209
9,20282.0652,20282.0652,20282.0652
10,20779.9200,20779.9200,20779.9200
11,25258.4620,25258.4620,25258.4620
12,28329.6403,28329.6403,28329.6403
13,26785.8932,26785.8932,26785.8932
14,24968.7930,24968.7930,24968.7930
15,24759.9060,24759.9060,24759.9060
16,26888.8208,26888.8208,26888.8208
17,30555.0604,30555.0604,30555.0604
18,31803.2745,31803.2745,31803.2745
19,31169.7076,31169.7076,31169.7076
20,29492.2959,29492.2959,29492.2959
21,32687.4069,32687.4069,32687.4069
22,34663.6082,34663.6082,34663.6082
23,33466.5781,33466.5781,33466.5781
24,34865.2082,34865.2082,34865.2082
25,31626.8521,31626.8521,31626.8521
26,33574.1932,33574.1932,33574.1932
27,33800.3642,33800.3642,33800.3642
28,36725.1634,36725.1634,36725.1634
29,38267.0783,38267.0783,38267.0783
30,34470.5794,34470.5794,34470.5794
31,38162.6324,38162.6324,38162.6324
32,36161.6621,36161.6621,36161.6621
33,39428.3489,39428.3489,39428.3489
34,41818.7132,41818.7132,41818.7132
35,43172.3612,43172.3612,43172.3612
36,46096.2769,46096.2769,46096.2769
37,49145.9245,49145.9245,49145.9245
38,47764.3591,47764.3591,47764.3591
39,47545.1192,47545.1192,47545.1192
40,48788.0997,48788.0997,48788.0997
41,49037.3392,49037.3392,49037.3392
42,51344.7521,51344.7521,51344.7521
43,60538.0903,60538.0903,60538.0903
44,60503.3568,60503.3568,60503.3568
45,60757.0283,60757.0283,60757.0283
46,62372.7236,62372.7236,62372.7236
47,61410.9972,61410.9972,61410.9972
48,63084.0576,63084.0576,63084.0576
49,64922.6977,64922.6977,64922.6977
50,65730.1288,65730.1288,65730.1288
51,50649.3702,50649.3702,50649.3702
52,35955.1472,35955.1472,35955.1472
53,47286.4414,47286.4414,47286.4414
54,39014.4777,39014.4777,39014.4777
55,27692.2588,27692.2588,27692.2588
56,17471.7286,17471.7286,17471.7286
57,18029.3167,18029.3167,18029.3167
58,25551.2103,25551.2103,25551.2103
59,18085.1456,18085.1456,18085.1456
60,7002.4102,7002.4102,7002.4102
61,1736.7994,1736.7994,1736.7994
62,618.0817,618.0817,929.6451
63,796.2531,796.2531,1114.5089
64,333.2402,333.2402,491.2219
65,457.1728,457.1728,686.0824
66,884.5564,884.5564,1185.1494
67,921.7467,921.7467,1102.5452
68,256.7177,256.7177,287.1707
69,1348.0282,1348.0282,1061.2031
70,602.3396,602.3396,663.8313
71,993.2039,993.2039,778.6822
72,1047.0917,1047.0917,895.3044
73,386.7570,386.7570,499.8670
74,1601.4921,1601.4921,923.7630
75,415.7114,415.7114,421.8400
76,5164.6255,5164.6255,17369.5363
77,13657.3644,13657.3644,16845.6304
78,6758.4276,6758.4276,13426.0353
79,10879.3231,10879.3231,14096.3937
80,1957.9589,1957.9589,316.8186
81,5955.4959,5955.4959,625.8011
82,1436.1041,1436.1041,1528.5823
83,1712.6812,1712.6812,592.7234
84,195.9413,195.9413,222.3556
85,6797.8830,6797.8830,6929.1214
86,3381.3172,3381.3172,820.0201
87,979.2875,979.2875,1404.7124
88,591.9324,591.9324,298.4644
89,1748.3910,1748.3910,1369.5025
90,8468.5804,8468.5804,5840.1451
91,2588.6224,2588.6224,2198.5668
92,3406.1017,3406.1017,873.7946
93,924.9865,924.9865,1273.6789
94,1235.3696,1235.3696,665.6839
95,233.8803,233.8803,289.1902
96,421.3763,421.3763,661.8550
97,600.6263,600.6263,699.3268
98,6280.8218,6280.8218,3833.2501
99,2147.5533,2147.5533,1152.6439
100,322.4314,322.4314,356.8179
