frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5681708.625368,298103.000000,0.000000
4,4121760.429644,282603.000000,0.000000
8,4786256.249062,273215.000000,0.000000
16,6185711.939384,294433.000000,0.000000
32,6205349.953923,305556.000000,0.000000
64,7152332.371432,300174.000000,0.000000
128,6856594.316476,302713.000000,0.000000
256,7138622.729623,270750.000000,0.000000
512,4162132.921684,294211.000000,0.000000
1024,6687261.788428,301514.000000,0.000000
2048,6643053.489420,301538.000000,0.000000
4096,5279830.008298,270635.000000,0.000000
8192,1349937.902784,54470.000000,0.000000
16384,4067328.615736,303325.000000,0.000000
32768,3280275.192896,153719.000000,0.000000
65536,14511654.502203,304074.000000,0.000000
