frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2895976.729914,304531.000000,301997.009190
4,3500693.715901,290821.000000,111.512331
8,4727655.348648,281223.000000,3845.227301
16,5314804.612588,266476.000000,122359.477169
32,6086861.134721,285518.000000,509.181696
64,8039678.763033,306150.000000,809888.219843
128,6533359.706222,301574.000000,472354.047685
256,7269104.940853,295272.000000,957373.519762
512,8176468.247913,295769.000000,1343275.710118
1024,7404845.433766,299247.000000,718971.327795
2048,6050517.356305,258769.000000,1487780.741484
4096,3839361.888666,160590.000000,731020.961446
8192,5567585.929148,299118.000000,1029142.274926
16384,4728778.715717,178811.000000,2925326.664152
32768,4681955.662970,240454.000000,2717293.362173
65536,9230681.364766,300755.000000,5083009.335996
