frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,1574938.587807,128404.000000,0.000000
4,4925415.882675,302510.000000,0.000000
8,6095562.585193,302057.000000,0.000000
16,4094025.744118,281426.000000,0.000000
32,4668725.230015,275201.000000,0.000000
64,6586075.128688,303689.000000,0.000000
128,6351513.307841,300532.000000,0.000000
256,4551965.725787,282583.000000,0.000000
512,8844872.149733,300683.000000,0.000000
1024,6061701.892753,303485.000000,0.000000
2048,9114096.041050,300355.000000,0.000000
4096,10053552.953935,302778.000000,0.000000
8192,10313522.694675,304930.000000,0.000000
16384,11403133.630893,303910.000000,0.000000
32768,3382768.883591,121440.000000,0.000000
65536,12405811.154796,304031.000000,0.000000
