frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2383396.071538,159199.000000,196660.772456
4,5463781.872133,286814.000000,804.897509
8,6236420.410503,300799.000000,228240.005593
16,8419295.232798,304997.000000,20658.142559
32,6330531.545222,305781.000000,251683.894123
64,7529095.587005,302526.000000,316742.669648
128,7032622.272044,299164.000000,423218.144443
256,6760434.028192,276320.000000,476107.710310
512,7075244.895121,304375.000000,1144187.479188
1024,7893329.815232,303108.000000,692088.788554
2048,6805000.315930,294536.000000,672498.680545
4096,8485824.785299,303046.000000,2036448.838757
8192,5437892.066983,253220.000000,1313477.963842
16384,6826283.725713,252163.000000,2330622.008351
32768,5872391.191882,250652.000000,3956451.189190
65536,6063004.932637,223131.000000,5296629.262698
