frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,5348690.023668,301266.000000,2579.256094
4,6243311.396916,279468.000000,125659.912283
8,4549397.467879,271076.000000,39907.998835
16,5698398.208753,245871.000000,145529.179270
32,6167133.874701,297436.000000,194397.611901
64,7861342.477606,305860.000000,268195.272992
128,6728284.307616,300256.000000,139173.031515
256,7773502.560661,298542.000000,694435.618647
512,7535829.358922,299665.000000,850849.630224
1024,6573439.990876,291588.000000,135800.951642
2048,5366623.947009,267985.000000,350279.447887
4096,6608998.737617,279370.000000,386263.779459
8192,10693350.992784,304487.000000,4230453.358113
16384,7176060.131505,261307.000000,1698986.749781
32768,3694656.526002,119375.000000,3410809.558832
65536,2352998.945972,115376.000000,0.000000
