frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,192188.795641,3402.000000,5260.781976
4,518925.970552,9952.000000,5175.471573
8,759112.783013,11373.000000,21060.383520
16,574059.297792,8880.000000,1353.847111
32,795019.503807,14835.000000,21097.302174
64,943857.535568,16545.000000,15749.566788
128,1030851.337310,18221.000000,96246.052257
256,577701.304911,10465.000000,19543.841460
512,1273950.473885,23250.000000,197927.230908
1024,1223131.139503,26206.000000,269012.096459
2048,1164676.788403,19278.000000,302287.923818
4096,510498.936587,9394.000000,38125.476063
8192,753323.458690,18276.000000,376675.467817
16384,1476648.812729,31946.000000,777717.086177
32768,2989199.948568,52806.000000,1997507.178002
65536,914309.907983,17707.000000,516858.993099
