frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1251226.675368,18374.000000,32892.691285
4,476707.715016,7565.000000,7903.702171
8,597438.776236,12579.000000,10691.742374
16,795726.061666,12080.000000,15580.601047
32,813445.515836,13489.000000,36078.765888
64,600427.807343,9416.000000,36184.283356
128,994549.565414,18401.000000,77784.542378
256,1017496.553256,19605.000000,163566.845632
512,839605.219792,19012.000000,169472.362310
1024,1079772.799941,19740.000000,126514.679255
2048,608470.371335,13605.000000,65289.931865
4096,1162589.931726,19918.000000,85892.049172
8192,1948771.674845,33273.000000,651010.481410
16384,1255990.081642,26462.000000,491783.750702
32768,1391970.918769,30177.000000,1010607.210471
65536,1143796.327061,30889.000000,1041758.582004
