frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,452614.474377,7570.000000,562.352203
4,243690.274664,5456.000000,3812.354260
8,717849.357097,13650.000000,29479.512547
16,519400.172308,8367.000000,12842.556210
32,772487.599403,15305.000000,14082.420815
64,952799.575391,14062.000000,50943.326158
128,1070090.606142,19126.000000,44537.913209
256,1265968.086413,22044.000000,49269.080639
512,1813199.393818,32607.000000,153531.929165
1024,1417850.759827,23964.000000,92202.607306
2048,1650751.500381,31195.000000,510310.298607
4096,1607310.070554,26454.000000,470245.804732
8192,970553.526661,17243.000000,354632.881938
16384,2130988.264897,29346.000000,459599.903188
32768,1497493.420316,24764.000000,634057.751735
65536,4813867.580343,71565.000000,2499849.567067
