frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,335914.172068,7367.000000,3295.145520
4,573131.055801,9112.000000,13810.496407
8,371372.193561,7170.000000,20682.613012
16,582690.221871,11764.000000,32701.390918
32,725599.209510,13119.000000,45698.034947
64,1038401.659009,18525.000000,50448.400064
128,1087768.993110,17834.000000,41341.327313
256,997851.826787,16007.000000,98783.526051
512,1497230.879178,24715.000000,64306.779604
1024,572859.477440,10959.000000,86981.630124
2048,1158136.153068,21415.000000,202524.799770
4096,633400.411490,11491.000000,92699.404340
8192,2169862.075567,42848.000000,1482620.015986
16384,1471775.457228,25961.000000,318975.275023
32768,3569891.695628,56255.000000,2614486.074277
65536,47390.206541,2583.000000,40682.997997
