frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,427737.443578,7199.000000,13009.746308
4,420834.196939,8031.000000,3551.530515
8,636482.108302,12796.000000,6751.412297
16,521774.302652,9553.000000,22258.341582
32,1090795.280063,18533.000000,57093.709242
64,841865.687298,16253.000000,69004.912209
128,1076195.425174,18983.000000,68380.651693
256,829592.772955,13888.000000,89957.332203
512,891292.776369,14755.000000,34880.468130
1024,1534466.502619,24216.000000,336239.483083
2048,1129101.891566,18216.000000,274295.125035
4096,960656.082629,16573.000000,254093.853950
8192,1604388.686914,34958.000000,531572.500066
16384,666608.985222,17171.000000,111810.048471
32768,1474884.135400,27258.000000,822952.080443
65536,1555676.192438,26448.000000,839165.010101
