frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,408595.574127,7330.000000,14010.564371
4,779352.480616,16134.000000,8968.410004
8,635157.167919,10404.000000,4103.863302
16,829658.695439,13729.000000,20387.844810
32,500492.081567,8976.000000,14099.371936
64,974717.526665,16855.000000,23395.936528
128,991021.155582,18856.000000,50368.083992
256,1243250.285075,22216.000000,92477.732736
512,1305966.266669,24929.000000,56667.233575
1024,1571610.520685,27414.000000,12519.383731
2048,1221222.290469,20160.000000,39150.319156
4096,937711.919319,19198.000000,227815.449972
8192,2155642.799661,37856.000000,567126.092145
16384,3660419.721350,56002.000000,1001836.028282
32768,1271550.582489,21256.000000,237621.802792
65536,1179094.797342,27765.000000,690748.948887
