frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,315138.067915,5733.000000,887.014092
4,617421.277423,10295.000000,24553.617025
8,588794.026281,9931.000000,2441.101800
16,687790.523943,11852.000000,38161.446684
32,825803.199104,15411.000000,29346.759480
64,743703.286843,12478.000000,38014.023320
128,975979.583781,16771.000000,13887.359252
256,1038575.665300,17036.000000,68592.366981
512,1140679.322421,19585.000000,182450.112793
1024,1024451.194120,18132.000000,224566.147462
2048,1599335.092180,26466.000000,158776.820915
4096,298475.014768,5662.000000,76664.079053
8192,1671916.197366,26652.000000,439004.060175
16384,2230063.033791,34695.000000,294833.844175
32768,735281.810713,16832.000000,434199.890078
65536,565233.867412,10157.000000,0.000000
