frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1695082.225701,283774.000000,125.717938
4,1898836.507100,303269.000000,203.963232
8,1577851.865559,273535.000000,205.455591
16,1559683.586926,292793.000000,60339.075449
32,2684987.489672,301673.000000,11968.461639
64,2143658.304422,285042.000000,15247.140158
128,2332448.040966,296226.000000,148719.896836
256,3350636.976921,300814.000000,341930.777196
512,1809623.384467,262884.000000,39514.089348
1024,3438951.254583,299030.000000,405843.262939
2048,2587527.400010,292025.000000,622402.231970
4096,1947981.257462,292774.000000,676128.495245
8192,2649689.501430,287187.000000,1351981.502600
16384,2617024.317863,212005.000000,1679416.007520
32768,1803346.025217,186033.000000,827306.275442
65536,4810378.129490,246058.000000,4799606.164711
