frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,622657.515488,135265.000000,373.239869
4,1194819.691199,248360.000000,236.822719
8,1568094.943282,262898.000000,6523.281153
16,2412557.933031,287852.000000,7972.464801
32,2647301.035905,298906.000000,16095.477067
64,1792266.043974,299282.000000,384.621892
128,2372741.166393,299115.000000,56677.476091
256,2634268.560596,278535.000000,192700.260477
512,2864954.920384,297978.000000,45836.711968
1024,3176618.030902,285764.000000,402392.096013
2048,3040054.175504,294564.000000,1000905.685398
4096,3316611.801561,301500.000000,609306.682255
8192,2336231.970651,274878.000000,1597238.218212
16384,1770868.373409,126293.000000,234009.218182
32768,4352869.303657,279176.000000,1844377.900518
65536,1452607.242735,176403.000000,1356739.528097
