frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,2262005.314091,299726.000000,391.906877
4,2314240.063692,302291.000000,281121.039602
8,1678894.831630,277902.000000,143.488676
16,1309328.792651,230954.000000,218.236111
32,1988005.586590,293705.000000,2046.161773
64,2478377.101299,281334.000000,150932.748908
128,2326884.399430,287473.000000,173912.452007
256,1774590.172095,301796.000000,259386.044378
512,2391552.086999,296922.000000,276757.776129
1024,2726356.361681,299606.000000,429648.530428
2048,3690754.013139,301334.000000,1361506.747664
4096,1421965.377222,188456.000000,464651.809936
8192,2892122.925297,300193.000000,918879.644396
16384,2470594.386211,177243.000000,2111052.264193
32768,1623578.762597,247883.000000,749158.411774
65536,836394.140361,108431.000000,0.000000
