frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1963286.153569,293118.000000,107.976849
4,1300567.195270,276298.000000,239.691468
8,1585733.990804,267932.000000,219.494875
16,2259208.599538,278375.000000,8032.380033
32,2301721.131761,302870.000000,16348.596698
64,2681875.021187,296214.000000,13743.431122
128,2453005.402097,299630.000000,58998.082977
256,2935173.736541,259920.000000,111752.213437
512,1580606.072354,248054.000000,57382.588492
1024,2471162.757619,298772.000000,37903.286652
2048,2683968.124391,286607.000000,1234638.119312
4096,1980452.216532,266079.000000,542910.305169
8192,651857.339370,51062.000000,262242.562672
16384,1334949.897110,248776.000000,626610.349003
32768,1508440.032954,151414.000000,1161615.710721
65536,8321401.206281,301409.000000,8278142.709672
