frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1981986.220815,301474.000000,76.452600
4,1508286.576950,291343.000000,136.400147
8,1467735.231061,270774.000000,329.394900
16,2205627.539406,298645.000000,55669.445830
32,1728017.688803,239416.000000,5761.641606
64,3455446.876363,294125.000000,219874.963363
128,2635714.011556,295338.000000,262552.862504
256,3133744.475947,284015.000000,99722.496680
512,2013573.655758,298454.000000,91289.530818
1024,1799077.388288,273981.000000,71561.424762
2048,2740233.497466,243119.000000,161902.662254
4096,3632953.528736,271397.000000,1945720.883613
8192,2937830.528686,299354.000000,1110741.567683
16384,2639166.438893,262614.000000,1241678.045505
32768,881268.878738,166082.000000,572614.164760
65536,432169.037470,81264.000000,0.000000
