frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,524597.836256,233979.000000,62.128898
4,2028511.622230,301890.000000,150.386170
8,937692.866253,298582.000000,113.088461
16,1543091.457043,214657.000000,2479.614688
32,1360631.846236,191244.000000,189.631221
64,1906281.789345,293496.000000,98997.555106
128,1676229.344188,266805.000000,160477.512129
256,3362211.170590,296479.000000,289794.546569
512,3296046.348813,302922.000000,173853.411824
1024,3008493.591366,300709.000000,264274.942513
2048,2625421.755724,284290.000000,311035.405936
4096,2565609.286922,242095.000000,342540.830041
8192,2591793.649126,299642.000000,1392642.717259
16384,3509855.372717,296974.000000,434653.683809
32768,1092672.089521,110855.000000,378922.266815
65536,5231760.750295,297350.000000,4127768.855484
