arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
34.00,8.50,262144,0.00,100.00,400
40.00,9.80,32768,0.00,100.00,400
36.00,9.80,32768,0.00,100.00,400
38.00,8.50,262144,0.00,100.00,400
40.00,8.50,262144,0.00,100.00,400
36.00,8.50,262144,0.00,100.00,400
34.00,9.80,32768,0.00,100.00,400
26.00,8.50,262144,0.00,100.00,400
38.00,9.80,32768,0.00,100.00,400
40.00,12.40,4096,0.00,100.00,400
38.00,12.40,4096,0.00,100.00,400
32.00,8.50,262144,0.00,100.00,400
32.00,9.80,32768,0.00,100.00,400
28.00,8.50,262144,0.00,100.00,400
30.00,9.80,32768,0.00,100.00,400
32.00,12.40,4096,0.00,100.00,400
34.00,12.40,4096,0.00,100.00,400
30.00,8.50,262144,0.00,100.00,400
28.00,9.80,32768,0.00,100.00,400
26.00,9.80,32768,0.00,100.00,400
22.00,8.50,262144,0.00,100.00,400
24.00,8.50,262144,0.00,100.00,400
38.00,18.90,512,0.00,100.00,400
36.00,12.40,4096,0.00,100.00,400
24.00,9.80,32768,0.00,100.00,400
20.00,8.50,262144,0.00,100.00,400
30.00,12.40,4096,0.25,99.75,400
36.00,18.90,512,0.00,100.00,400
26.00,12.40,4096,0.00,100.00,400
28.00,12.40,4096,0.00,100.00,400
40.00,18.90,512,0.00,100.00,400
20.00,9.80,32768,0.00,100.00,400
40.00,60.00,24,99.75,0.25,400
34.00,18.90,512,0.00,100.00,400
22.00,9.80,32768,0.00,100.00,400
24.00,12.40,4096,0.00,100.00,400
32.00,18.90,512,0.00,100.00,400
30.00,18.90,512,0.00,100.00,400
38.00,60.00,24,99.75,0.25,400
28.00,18.90,512,0.00,100.00,400
22.00,12.40,4096,0.00,100.00,400
40.00,60.00,12,99.75,0.25,400
40.00,60.00,18,99.75,0.25,400
36.00,60.00,18,99.75,0.25,400
38.00,60.00,12,99.75,0.25,400
20.00,12.40,4096,0.00,100.00,400
38.00,56.30,64,99.75,0.25,400
38.00,60.00,18,99.75,0.25,400
36.00,60.00,24,99.75,0.25,400
36.00,60.00,12,99.75,0.25,400
40.00,56.30,64,99.75,0.25,400
34.00,56.30,64,99.75,0.25,400
26.00,18.90,512,0.00,100.00,400
34.00,60.00,24,99.75,0.25,400
32.00,60.00,12,99.75,0.25,400
32.00,60.00,18,99.75,0.25,400
30.00,60.00,12,99.75,0.25,400
36.00,56.30,64,99.75,0.25,400
22.00,18.90,512,0.00,100.00,400
32.00,60.00,24,99.75,0.25,400
34.00,60.00,12,99.75,0.25,400
28.00,60.00,24,94.25,5.75,400
24.00,18.90,512,0.00,100.00,400
26.00,60.00,24,61.50,38.50,400
30.00,60.00,24,99.25,0.75,400
34.00,60.00,18,99.75,0.25,400
24.00,60.00,24,6.25,93.75,400
26.00,60.00,12,99.75,0.25,400
32.00,56.30,64,99.75,0.25,400
30.00,56.30,64,99.75,0.25,400
30.00,60.00,18,99.75,0.25,400
22.00,60.00,18,83.50,16.50,400
28.00,60.00,18,99.75,0.25,400
28.00,56.30,64,99.75,0.25,400
20.00,18.90,512,0.00,100.00,400
28.00,60.00,12,99.75,0.25,400
26.00,56.30,64,99.75,0.25,400
24.00,60.00,18,99.00,1.00,400
24.00,56.30,64,99.75,0.25,400
26.00,60.00,18,99.75,0.25,400
24.00,60.00,12,99.75,0.25,400
22.00,56.30,64,99.75,0.25,400
22.00,60.00,12,99.50,0.50,400
22.00,60.00,24,0.50,99.50,400
20.00,60.00,18,8.75,91.25,400
20.00,60.00,12,99.75,0.25,400
20.00,56.30,64,99.75,0.25,400
20.00,60.00,24,0.00,100.00,400
