frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
4096,668213.769385,668213.769385,668213.769385,668213.769385,668213.769385,668213.769385
8,272678.277620,272678.277620,272678.277620,272678.277620,272678.277620,272678.277620
65536,1094826.849174,1094825.942023,1094825.895570,1094825.895570,1094826.802721,1094825.895570
64,463706.186683,463468.487845,463468.487845,463468.487845,463468.487845,463468.487845
2,488446.882765,488446.882765,488446.882765,488446.882765,488446.882765,488446.882765
32,722637.931023,722637.931023,722637.931023,722637.931023,722637.931023,722637.931023
16,675775.726827,677101.006064,677101.006064,677101.006064,677101.006064,677101.006064
4,711314.448377,711314.448377,711314.448377,711314.448377,711314.448377,711314.448377
512,927999.367223,927999.367223,927999.367223,927999.367223,927999.367223,927999.367223
1024,1132991.558809,1134276.215402,1134276.215402,1134276.215402,1134276.215402,1134276.215402
256,1181620.525500,1181620.525500,1181620.525500,1181620.525500,1181620.525500,1181620.525500
128,1219117.365803,1219117.365803,1219117.365803,1219117.365803,1219117.365803,1219117.365803
2048,1149750.226106,1149750.226106,1149750.226106,1149750.226106,1149750.226106,1149750.226106
8192,1397657.171761,1399894.347112,1399894.347112,1399894.347112,1399894.347112,1399894.347112
32768,1546685.381909,1549444.603169,1549444.603169,1549444.603169,1549444.603169,1549444.603169
16384,2292466.439705,2293925.738500,2293925.738500,2293925.738500,2293925.738500,2293925.738500
