frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,573220.826702,573169.573427,573054.396965,573054.396965,573054.396965,573054.396965
4,689604.023843,689604.023843,689604.023843,689604.023843,689604.023843,689604.023843
32,723048.598924,723048.598924,723048.598924,723048.598924,723048.598924,723048.598924
256,792059.221521,792687.891589,792687.891589,792687.891589,792687.891589,792687.891589
16,692327.764497,692327.764497,692327.764497,692327.764497,692327.764497,692327.764497
8,835291.205243,836957.641317,836957.641317,836957.641317,836957.641317,836957.641317
32768,754396.313825,769991.745917,772306.539469,772306.539469,772283.079626,772306.539469
64,1008503.181331,1008503.181331,1008503.181331,1008503.181331,1008503.181331,1008503.181331
4096,1150085.836262,1149922.505269,1149922.505269,1149922.505269,1149922.505269,1149922.505269
16384,853151.913003,872317.828672,872317.828672,872317.828672,872317.828672,872317.828672
8192,1616054.684673,1616291.587121,1616291.587121,1617067.026028,1617067.026028,1617067.026028
1024,1383440.021799,1389510.818851,1389510.818851,1389510.818851,1389510.818851,1389510.818851
128,1296090.881883,1296276.873244,1296276.873244,1296276.873244,1296276.873244,1296276.873244
512,1247985.995658,1251842.288899,1251842.288899,1251842.288899,1251842.288899,1251842.288899
2048,1499490.785835,1505140.567807,1505140.567807,1505148.875882,1505148.875882,1505140.567807
65536,1485473.951727,1490075.038034,1490075.038034,1490075.038034,1490075.038034,1490075.038034
