frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
4,238644.160765,4269.000000,238644.160765,4269.000000,238644.160765,4269.000000,238644.160765,4269.000000,238644.160765,4269.000000,238644.160765,4269.000000
128,997237.528812,19907.000000,997237.528812,19907.000000,997237.528812,19907.000000,997237.528812,19907.000000,997237.528812,19907.000000,997237.528812,19907.000000
65536,508397.592687,16054.000000,508645.947525,16054.000000,508397.592687,16054.000000,508397.592687,16054.000000,508397.592687,16054.000000,508397.592687,16054.000000
2,418088.522423,9689.000000,418088.522423,9689.000000,418088.522423,9689.000000,418088.522423,9689.000000,418088.522423,9689.000000,418088.522423,9689.000000
16,946704.399342,17255.000000,946704.399342,17255.000000,946704.399342,17255.000000,946704.399342,17255.000000,946704.399342,17255.000000,946704.399342,17255.000000
256,1079261.777939,18473.000000,1079261.777939,18473.000000,1079261.777939,18473.000000,1079261.777939,18473.000000,1079261.777939,18473.000000,1079261.777939,18473.000000
2048,1186132.889243,19909.000000,1183066.095522,19909.000000,1186132.889243,19909.000000,1186132.889243,19909.000000,1186132.889243,19909.000000,1186132.889243,19909.000000
32,765093.355465,12537.000000,765093.355465,12537.000000,765093.355465,12537.000000,765093.355465,12537.000000,765093.355465,12537.000000,765093.355465,12537.000000
1024,937576.809434,16944.000000,937576.809434,16944.000000,937576.809434,16944.000000,937576.809434,16944.000000,937576.809434,16944.000000,937576.809434,16944.000000
32768,1656136.884551,25634.000000,1619250.782964,31252.000000,1656136.884551,25634.000000,1656136.884551,25634.000000,1656136.884551,25634.000000,1656136.884551,25634.000000
16384,1842460.988505,30949.000000,1842460.988505,30949.000000,1842460.988505,30949.000000,1842460.988505,30949.000000,1842460.988505,30949.000000,1842460.988505,30949.000000
8,725076.132213,10662.000000,725076.132213,10662.000000,725076.132213,10662.000000,725076.132213,10662.000000,725076.132213,10662.000000,725076.132213,10662.000000
8192,1794350.804792,30004.000000,1773079.587612,30004.000000,1776323.081022,30004.000000,1794350.804792,30004.000000,1794350.804792,30004.000000,1794350.804792,30004.000000
64,911975.477250,14638.000000,910587.645435,14638.000000,911975.477250,14638.000000,911975.477250,14638.000000,911975.477250,14638.000000,911975.477250,14638.000000
512,1305595.576487,23336.000000,1305595.576487,23336.000000,1305595.576487,23336.000000,1305595.576487,23336.000000,1305595.576487,23336.000000,1305595.576487,23336.000000
4096,2536003.124707,40856.000000,2535331.614213,40856.000000,2536003.124707,40856.000000,2536003.124707,40856.000000,2536003.124707,40856.000000,2536003.124707,40856.000000
