frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,426574.461951,427720.608212,427720.608212,427720.608212,427720.608212,427720.608212
8,430574.782139,430475.366632,430475.366632,430484.390506,430484.390506,430475.366632
16,863088.868987,863088.868987,863088.868987,863088.868987,863088.868987,863088.868987
128,525069.655618,525069.655618,525069.655618,525069.655618,525069.655618,525069.655618
4,886349.749769,886349.749769,886349.749769,886349.749769,886349.749769,886349.749769
2048,1104485.969122,1118984.283143,1118984.283143,1118984.283143,1118984.283143,1118984.283143
4096,1336460.023228,1340675.665545,1340675.665545,1340675.665545,1340675.665545,1340675.665545
32768,1690969.103445,1690969.131138,1690969.010606,1690969.010606,1690968.982913,1690969.010606
65536,2989149.146989,3115705.884285,3115706.135754,3115706.135754,3115706.135754,3115705.884285
64,1089823.658507,1089823.658507,1089823.658507,1089823.658507,1089823.658507,1089823.658507
32,1187151.946581,1187151.946581,1187151.946581,1187151.946581,1187151.946581,1187151.946581
512,1022899.697851,1022899.697851,1022899.697851,1022899.697851,1022899.697851,1022899.697851
256,1153339.673657,1156987.230497,1156987.230497,1156987.230497,1156987.230497,1156987.230497
1024,1276018.461887,1280380.409750,1280380.409750,1280380.409750,1280380.409750,1280380.409750
8192,1800197.644969,1834094.928913,1834094.928913,1834094.928913,1834094.928913,1834094.928913
16384,2389683.391570,2395509.829403,2395509.829403,2395509.829403,2395509.829403,2395509.829403
