frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
32768,167613.634860,7370.000000,167613.634860,7370.000000,167613.634860,7370.000000,167613.634860,7370.000000,167613.634860,7370.000000,167613.634860,7370.000000
65536,1390085.710330,27361.000000,1390085.710330,27361.000000,1390085.710330,27361.000000,1390085.710330,27361.000000,1390085.710330,27361.000000,1390085.710330,27361.000000
2,251841.277008,5187.000000,251841.277008,5187.000000,251841.277008,5187.000000,251841.277008,5187.000000,251841.277008,5187.000000,251841.277008,5187.000000
8192,313196.674018,6541.000000,313196.674018,6541.000000,313196.674018,6541.000000,313196.674018,6541.000000,313196.674018,6541.000000,313196.674018,6541.000000
8,527147.618788,8181.000000,527147.618788,8181.000000,527147.618788,8181.000000,527147.618788,8181.000000,527147.618788,8181.000000,527147.618788,8181.000000
4,471089.898203,10121.000000,471089.898203,10121.000000,471089.898203,10121.000000,471089.898203,10121.000000,471089.898203,10121.000000,471089.898203,10121.000000
1024,670636.020029,15536.000000,670636.020029,15536.000000,670636.020029,15536.000000,670636.020029,15536.000000,670636.020029,15536.000000,670636.020029,15536.000000
16,656697.894200,11948.000000,656697.894200,11948.000000,656697.894200,11948.000000,656697.894200,11948.000000,656697.894200,11948.000000,656697.894200,11948.000000
32,605628.239339,10785.000000,605628.239339,10785.000000,605628.239339,10785.000000,605628.239339,10785.000000,605628.239339,10785.000000,605628.239339,10785.000000
128,925494.182132,16498.000000,925494.182132,16498.000000,925494.182132,16498.000000,925494.182132,16498.000000,925494.182132,16498.000000,925494.182132,16498.000000
64,978132.566935,15923.000000,978132.566935,15923.000000,978132.566935,15923.000000,978132.566935,15923.000000,978132.566935,15923.000000,978132.566935,15923.000000
256,948878.144913,14561.000000,948878.144913,14561.000000,948878.144913,14561.000000,948878.144913,14561.000000,948878.144913,14561.000000,948878.144913,14561.000000
4096,1396567.308258,27086.000000,1396567.308258,27086.000000,1396567.308258,27086.000000,1396567.308258,27086.000000,1396567.308258,27086.000000,1396567.308258,27086.000000
512,900319.575037,14236.000000,900319.575037,14236.000000,900319.575037,14236.000000,900319.575037,14236.000000,900319.575037,14236.000000,900319.575037,14236.000000
16384,1299012.366310,22335.000000,1299012.366310,22335.000000,1299012.366310,22335.000000,1299012.366310,22335.000000,1299012.366310,22335.000000,1299012.366310,22335.000000
2048,1307649.397849,22313.000000,1307649.397849,22313.000000,1307649.397849,22313.000000,1307649.397849,22313.000000,1307649.397849,22313.000000,1307649.397849,22313.000000
