frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
2,409961.050191,409961.050191,409961.050191,409961.050191,409961.050191,409961.050191
32,451353.216483,451353.216483,451353.216483,451353.216483,451353.216483,451353.216483
16,811617.821487,811617.821487,811617.821487,811617.821487,811617.821487,811617.821487
2048,785792.157234,785792.157234,785792.157234,785792.157234,785792.157234,785792.157234
4,805905.202115,805905.202115,805905.202115,805905.202115,805905.202115,805905.202115
8,800495.264393,800495.264393,800495.264393,800495.264393,800495.264393,800495.264393
64,950640.301297,950640.301297,950640.301297,950640.301297,950640.301297,950640.301297
128,896115.599366,896115.599366,896115.599366,896115.599366,896115.599366,896115.599366
512,1094890.002851,1094890.002851,1094890.002851,1094890.002851,1094890.002851,1094890.002851
4096,1102844.331821,1105711.208506,1105711.208506,1105711.208506,1105711.208506,1105711.208506
256,1363947.152912,1363947.152912,1363947.152912,1363947.152912,1363947.152912,1363947.152912
32768,1128467.524928,1128307.917831,1128307.917831,1128307.917831,1128307.917831,1128307.917831
1024,1467528.321105,1467528.321105,1467528.321105,1467528.321105,1467528.321105,1467528.321105
8192,2198515.429101,2202759.857393,2202759.857393,2202759.857393,2202759.857393,2202759.857393
16384,2972665.230277,2972665.230277,2972665.230277,2972665.230277,2972665.230277,2972665.230277
65536,3724452.104544,3724452.104544,3724452.104544,3724452.104544,3724452.104544,3724452.104544
