frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,468526.997790,22897.000000,0.000000
4,609730.191305,27206.000000,0.000000
8,1018936.434471,46688.000000,0.000000
16,1306099.722568,56220.000000,0.000000
32,919940.111265,50169.000000,0.000000
64,3012495.303715,111024.000000,0.000000
128,2909809.821697,105507.000000,0.000000
256,2090559.725668,81674.000000,0.000000
512,2249008.189249,85721.000000,0.000000
1024,2363485.356719,96436.000000,0.000000
2048,3139644.435288,120507.000000,0.000000
4096,2317699.624938,101363.000000,0.000000
8192,2238474.515173,98251.000000,0.000000
16384,1742431.629412,92241.000000,0.000000
32768,1504723.582555,75407.000000,0.000000
65536,5316572.715137,153277.000000,0.000000
