frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1258871.722691,53001.000000,0.000000
4,397352.867863,18113.000000,0.000000
8,996040.918081,42913.000000,0.000000
16,1864882.559104,68204.000000,0.000000
32,1211699.676298,49598.000000,0.000000
64,2058918.550029,81373.000000,0.000000
128,2407176.300296,89376.000000,0.000000
256,3150835.246731,107639.000000,0.000000
512,2313832.482683,76789.000000,0.000000
1024,2961948.399497,123740.000000,0.000000
2048,4752889.434632,174490.000000,0.000000
4096,3881201.159420,124013.000000,0.000000
8192,2516167.723004,98713.000000,0.000000
16384,4341410.922514,139505.000000,0.000000
32768,2686405.721847,96443.000000,0.000000
65536,3179515.182932,99611.000000,0.000000
