frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1309812.948506,57705.000000,0.000000
4,1447481.026774,51602.000000,0.000000
8,1419779.815157,55761.000000,0.000000
16,1304921.875024,62493.000000,0.000000
32,2068719.874455,80696.000000,0.000000
64,1922482.520566,77503.000000,0.000000
128,1844944.552345,84570.000000,0.000000
256,3317758.867032,141093.000000,0.000000
512,1630573.137294,66892.000000,0.000000
1024,3318243.788142,124379.000000,0.000000
2048,2863699.066911,95874.000000,0.000000
4096,3517089.185978,140264.000000,0.000000
8192,1727046.547593,77759.000000,0.000000
16384,1238946.872103,61239.000000,0.000000
32768,3257395.312943,108762.000000,0.000000
65536,3002615.771641,128810.000000,0.000000
