frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1578839.676919,52957.000000,0.000000
4,1210663.052773,45419.000000,0.000000
8,1746148.652223,69529.000000,0.000000
16,1146635.658058,49069.000000,0.000000
32,2244739.087407,71838.000000,0.000000
64,2042889.256132,74460.000000,0.000000
128,2536750.939746,89387.000000,0.000000
256,2369381.443352,73548.000000,0.000000
512,2212866.574612,81098.000000,0.000000
1024,2443171.932814,76234.000000,0.000000
2048,2473641.180777,91203.000000,0.000000
4096,3103875.046898,100708.000000,0.000000
8192,1147374.593732,55192.000000,0.000000
16384,1015501.326034,32670.000000,0.000000
32768,1438932.663524,65814.000000,0.000000
65536,240054.374665,9059.000000,0.000000
