batch,Dynamic,Dynamic_BAL,RFDynamic
1,887.6232,887.6232,851.5920
2,2834.2373,2834.2373,2288.1396
3,3612.5351,3612.5351,3612.5351
4,5550.0104,5550.0104,5550.0104
5,8731.1979,8731.1979,8731.1979
6,8583.0207,8583.0207,8583.0207
7,11258.6620,11258.6620,11258.6620
8,10071.4681,10071.4681,10071.4681
9,6545.6239,6545.6239,6545.6239
10,4205.1763,4205.1763,4205.1763
11,6181.6952,6181.6952,6181.6952
12,5778.0296,5778.0296,5778.0296
13,4852.4181,4852.4181,4852.4181
14,1695.3038,1695.3038,1695.3038
15,1077.4855,1077.4855,1077.4855
16,2653.0814,2653.0814,2653.0814
17,2479.1517,2479.1517,2479.1517
18,2286.7096,2286.7096,2286.7096
19,4096.4792,4096.4792,4096.4792
20,6023.8757,6023.8757,6023.8757
21,5683.3397,5683.3397,5683.3397
22,3476.4191,3476.4191,3476.4191
23,7660.0002,7660.0002,7660.0002
24,12318.7382,12318.7382,12318.7382
25,11504.3412,11504.3412,11504.3412
26,12620.8899,12620.8899,12620.8899
27,10226.5065,10226.5065,10226.5065
28,7469.4140,7469.4140,7469.4140
29,3872.5097,3872.5097,3872.5097
30,3124.8128,3124.8128,3124.8128
31,3340.8363,3340.8363,3340.8363
32,6116.3165,6116.3165,6116.3165
33,6276.5436,6276.5436,6276.5436
34,7419.6443,7419.6443,7419.6443
35,6901.2826,6901.2826,6901.2826
36,3582.3318,3582.3318,3582.3318
37,5638.1243,5638.1243,5638.1243
38,7555.1060,7555.1060,7555.1060
39,10289.4496,10289.4496,10289.4496
40,6617.6297,6617.6297,6617.6297
41,7014.9049,7014.9049,7014.9049
42,9185.3771,9185.3771,9185.3771
43,8188.2837,8188.2837,8188.2837
44,4960.9013,4960.9013,4960.9013
45,4727.8474,4727.8474,4727.8474
46,1837.7630,1837.7630,1837.7630
47,5084.3805,5084.3805,5084.3805
48,6889.3220,6889.3220,6889.3220
49,4809.7755,4809.7755,4809.7755
50,3563.3323,3563.3323,3563.3323
51,2094.9339,2094.9339,2094.9339
52,5045.2839,5045.2839,5045.2839
53,496.0887,496.0887,496.0887
54,2042.8529,2042.8529,2042.8529
55,795.6802,795.6802,795.6802
56,593.9150,593.9150,593.9150
57,31646.7288,31258.3780,29793.0383
58,20028.3482,20232.8347,29962.4657
59,69667.9765,69667.9765,102288.6801
60,4651.3956,4651.3956,868.9770
61,35243.3601,35243.3601,55025.6690
62,48700.4961,48700.4961,95290.3683
63,11728.6998,11728.6998,24632.1706
64,4128.9040,4128.9040,2471.6988
65,2433.3035,2433.3035,605.8729
66,4362.1755,4362.1755,9649.7868
67,12557.9413,12557.9413,14708.1206
68,4810.0212,4810.0212,743.4447
69,4091.4358,4091.4358,342.6631
70,6804.2922,6804.2922,2438.6211
71,71767.4646,71767.4646,74493.2949
72,8953.5124,8953.5124,358.1676
73,23287.7821,23252.6569,626.9617
74,5459.4516,5459.9059,2081.2494
75,4980.7223,4980.7223,3951.5303
76,5287.5428,5287.5428,2497.2993
77,2377.2833,2377.2833,1507.4193
78,9940.9668,9940.9668,453.4325
79,5126.9374,5126.9374,627.8766
80,13288.3616,13288.3616,1145.2982
81,1799.6808,1799.6808,1071.5447
82,7921.8436,7921.8436,961.3631
83,2884.7232,2884.7232,1438.8106
84,21671.7873,21659.9018,454.2103
85,5165.8506,5166.0364,857.6001
86,20673.0181,20673.0181,5198.0130
87,5130.7538,5130.7538,1017.1352
88,9768.5610,9768.5610,6856.1064
89,5138.4784,5138.4784,1475.0898
90,11349.5735,11349.5735,776.6080
91,2406.8961,2406.8961,1306.9415
92,9902.0901,9902.0901,494.2712
93,13556.5284,13556.5284,733.6096
94,8047.7837,8047.7837,437.3991
95,3156.1665,3156.1665,819.5407
96,1798.2503,1798.2503,3994.4988
97,9325.3415,9325.3415,787.0940
98,1070.4368,1070.4368,753.0717
99,9652.9356,9652.9356,5715.1006
100,3757.2463,3757.2463,1094.1951
