frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,866774.733223,206388.000000,1881.786651
4,34944685.568191,890565.000000,456632.635060
8,19717015.653088,601006.000000,281612.401215
16,19613889.591101,599570.000000,241547.042847
32,34970855.298762,893664.000000,1121992.302968
64,35146423.611591,890262.000000,1765665.570969
128,2261620.120697,263878.000000,1462.355976
256,35199046.163022,896478.000000,3802148.222598
512,20060796.402080,598930.000000,1824320.043697
1024,20348886.205610,584423.000000,2036961.771227
2048,35399608.184871,897536.000000,4919517.419643
4096,20361518.899489,600206.000000,4888824.256328
8192,18199743.212472,596126.000000,1794408.102144
16384,34620423.637879,904081.000000,6352583.671662
32768,18521381.101810,558857.000000,7058671.099010
65536,3927287.257018,250045.000000,2389749.742637
