frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,825001.622606,246793.000000,207.152118
4,1166705.790202,233075.000000,125.900755
8,1889477.287454,301633.000000,296.101334
16,34750850.864370,900293.000000,1226767.826825
32,1596498.843486,220150.000000,6612.668826
64,34831322.814979,901590.000000,1851714.052702
128,20082952.017736,596517.000000,887942.917679
256,35387046.871076,893147.000000,1850574.580135
512,35486685.524684,903319.000000,4566446.207708
1024,20221041.066377,602835.000000,4064431.271806
2048,35256761.151944,901320.000000,6181793.170261
4096,847428.750449,161515.000000,216720.636076
8192,20281117.826932,581073.000000,7032884.298957
16384,19939272.568630,563582.000000,6989313.153001
32768,3080244.224717,223637.000000,459019.965982
65536,19237083.207335,591891.000000,0.000000
