frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1229879.594512,287311.000000,59.941638
4,19618601.974273,592920.000000,266835.012221
8,34114606.396031,890991.000000,681792.978665
16,20087249.530860,598289.000000,287711.315752
32,34586268.685581,897663.000000,1334708.493367
64,19740226.549301,597452.000000,989885.098553
128,35040258.672757,902671.000000,1357791.959495
256,3362438.731962,295236.000000,523059.831501
512,35487333.556293,899494.000000,3473734.410132
1024,2437212.549558,282290.000000,210449.401600
2048,2365880.880807,298055.000000,432812.192289
4096,34526200.435958,875149.000000,5067831.920261
8192,20235015.782547,602238.000000,3229119.842196
16384,19619255.035650,570117.000000,9051962.339952
32768,33774551.117873,893344.000000,11771985.721450
65536,20265867.765923,603836.000000,7973722.708141
