frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,19942884.846786,593810.000000,188728.003627
4,19528458.151969,598092.000000,493659.180689
8,840181.961044,207222.000000,225.335306
16,19667221.518866,597484.000000,327352.677128
32,34621918.910377,897024.000000,1533138.484371
64,20038650.388897,590481.000000,1123175.539863
128,2755087.355823,302091.000000,271619.857952
256,35019315.704273,883949.000000,2291916.893095
512,2796162.979205,289055.000000,21248.656522
1024,20409962.988092,599527.000000,3271524.178744
2048,20230732.844120,598636.000000,1956210.040173
4096,3107466.725419,273779.000000,291578.734869
8192,3458662.190439,263603.000000,895808.018707
16384,1196718.522020,113423.000000,838747.930118
32768,19551857.406902,600738.000000,9086253.107745
65536,33250030.782158,876501.000000,19507861.616017
