frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,281877339.709388,3424705.000000
4,2373170.407815,1200190.000000
8,156025270.650356,2177742.000000
16,277008092.877853,3337574.000000
32,282311129.573495,3421155.000000
64,160674416.095505,2258328.000000
128,2398187.103112,1006128.000000
256,2829680.022179,732385.000000
512,144922307.643619,2240666.000000
1024,2452912.356147,862251.000000
2048,289617514.612938,3405123.000000
4096,4191997.047701,671623.000000
8192,286036893.740799,3290217.000000
16384,19501264.642791,1171672.000000
32768,98824365.823616,2169775.000000
65536,6765063.709537,1144044.000000
