frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,153471643.145821,2320240.000000
4,1740134.863991,1121729.000000
8,282470291.970230,3272458.000000
16,280516153.266602,3352856.000000
32,1512280.936173,1004845.000000
64,3388056.638046,1177215.000000
128,3644548.075924,913026.000000
256,1860204.657504,558713.000000
512,266360162.136131,3412859.000000
1024,185034935.154922,2346824.000000
2048,4337466.381591,1002854.000000
4096,148042703.114434,2297560.000000
8192,224693832.679532,3555205.000000
16384,214384184.485663,3683963.000000
32768,11325995.751982,739667.000000
65536,137890267.428880,2240037.000000
