frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,156668239.442056,2247305.000000
4,274855614.272290,3380735.000000
8,2406574.745896,1167442.000000
16,154385640.767299,2259576.000000
32,159549748.793224,2265972.000000
64,3603498.332732,1102607.000000
128,2632045.711508,1007950.000000
256,167421564.964259,2281738.000000
512,2171360.102938,1051838.000000
1024,154645669.261105,2255307.000000
2048,177100070.186391,2337016.000000
4096,188521003.940347,2196737.000000
8192,126681527.384143,2194014.000000
16384,339784982.698278,3776424.000000
32768,27506911.518656,745124.000000
65536,378737775.399880,3143528.000000
