frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,677278.905632,288522.000000
4,276669142.022202,3435888.000000
8,2248312.224508,1096838.000000
16,3321839.066374,954508.000000
32,161897301.524309,2279779.000000
64,160353248.287079,2178378.000000
128,1858112.900909,658970.000000
256,4433562.664290,1101272.000000
512,154777315.617931,2289753.000000
1024,2728192.880713,963924.000000
2048,151718956.824978,2345406.000000
4096,9029335.122671,1156905.000000
8192,358023659.144710,3531205.000000
16384,149248373.391836,2272964.000000
32768,104377913.565292,2373284.000000
65536,134729033.122912,2167256.000000
