frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,1925273.547386,1078799.000000
4,279787245.656052,3593229.000000
8,157773420.577928,2284236.000000
16,279682102.262579,3379049.000000
32,1432037.859283,978817.000000
64,152769984.866144,2133670.000000
128,284722662.788492,3620324.000000
256,1604782.473236,461460.000000
512,3747004.791077,1010232.000000
1024,2207635.907284,580382.000000
2048,151011431.565475,2413744.000000
4096,170576472.073724,2186530.000000
8192,369761023.705343,3411059.000000
16384,20827583.480319,766934.000000
32768,6368483.125865,1113613.000000
65536,326064680.811350,3534859.000000
