frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,153813424.639240,2334645.000000
4,2326435.060442,892575.000000
8,153854749.908275,2415373.000000
16,2777507.278687,1093748.000000
32,1574219.675960,492695.000000
64,277011946.946734,3278514.000000
128,168177175.419870,2273819.000000
256,159755784.937433,2197435.000000
512,173649784.880285,2234526.000000
1024,152825484.132315,2275838.000000
2048,2428245.653888,567324.000000
4096,7587059.083239,993057.000000
8192,258731515.179899,3518866.000000
16384,159469933.199407,2195112.000000
32768,12847612.112195,1166905.000000
65536,11245654.017083,1008955.000000
