frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,282367243.757761,3350242.000000
4,279844850.345195,3500285.000000
8,155883607.477887,2336023.000000
16,156979976.772539,2339669.000000
32,286890787.346427,3533083.000000
64,3189402.725946,1202053.000000
128,294366536.626481,3333526.000000
256,164241424.079918,2280529.000000
512,287957869.649460,3459295.000000
1024,2388745.074185,888095.000000
2048,257073652.541218,3439996.000000
4096,3396279.130110,669935.000000
8192,250845912.223813,3251505.000000
16384,196583374.407467,3332476.000000
32768,191500365.710416,3441358.000000
65536,287354126.136591,2286909.000000
