frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,2560179.537242,1151376.000000
4,156716092.790445,2341071.000000
8,278910428.975372,3974305.000000
16,279192080.708475,3667671.000000
32,277136483.455220,3398428.000000
64,157157304.654597,2321538.000000
128,287219428.318354,3372090.000000
256,153397688.652027,2347248.000000
512,2999148.570362,964253.000000
1024,164908854.842765,2299792.000000
2048,245185049.571192,3544558.000000
4096,4344662.030608,1077155.000000
8192,359072029.779514,3180707.000000
16384,162018985.960808,2253719.000000
32768,199206461.852101,2251516.000000
65536,262553988.105646,3659279.000000
