frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,1709085.502544,1039542.000000
4,1039178.622961,845105.000000
8,275244663.800069,3369148.000000
16,285784381.012471,3591670.000000
32,155379582.031800,2256506.000000
64,155300244.481023,2240535.000000
128,165006125.315941,2235810.000000
256,4649553.994946,1171298.000000
512,262387465.930138,3353742.000000
1024,163582400.893321,2207839.000000
2048,152135985.322689,2348628.000000
4096,6942599.448742,1087671.000000
8192,133256469.266729,2262503.000000
16384,262961319.116039,2363642.000000
32768,201066813.956289,3183473.000000
65536,195237451.454907,2280834.000000
