frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,154034509.213553,2394360.000000
4,154649641.672778,2216492.000000
8,155306600.465031,2313187.000000
16,1454598.388311,703822.000000
32,275959886.319675,3525708.000000
64,282987950.371842,3304730.000000
128,162507620.242098,2302227.000000
256,294849404.285712,3361627.000000
512,3531670.055557,1148076.000000
1024,157609968.209322,2192354.000000
2048,6435576.698508,1180746.000000
4096,7641341.431350,977164.000000
8192,319283532.267178,3566320.000000
16384,158388669.035023,2301416.000000
32768,316936973.818084,3386601.000000
65536,228828592.162049,3406254.000000
