batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,3518.5328,2254.5902,3518.5328,3233.0575,3764.5859,6554.2315,17046.1808,8068.6767
2,2597.0841,1752.6323,2597.0841,2513.9035,2949.3516,4704.5361,47743.8081,37842.9481
3,23155.1508,3869.0615,23155.1508,23079.3243,7883.5060,28780.8901,75660.1460,60200.4183
4,23462.4941,7806.7343,23462.4941,23214.1676,15097.4949,33543.2546,103379.9343,48740.3600
5,16004.3616,10239.1380,16004.3616,15955.5965,17075.3295,31936.9834,132263.4913,36905.4462
6,3357.9730,7631.0982,3357.9730,3015.5222,13475.8669,20460.1657,164493.5102,19910.8200
7,7886.0394,5629.5269,7886.0394,7812.6209,9494.2213,21639.1143,196978.5758,11866.6672
8,1798.4085,4415.6968,1798.4085,1794.8437,7143.7322,8345.1836,228095.8156,6671.0597
9,140470.9914,1906.1750,50071.1043,140159.8953,4280.6685,129358.5475,260253.0599,274796.4389
10,135638.4331,5709.3797,48675.0822,135611.1404,10229.7059,129475.2088,287189.6224,251577.0601
11,132448.1178,6726.2304,46037.1552,130843.7323,12279.4023,133066.3333,315888.5675,390231.1444
12,60266.2262,9261.5809,42455.7987,61298.2453,19438.9631,51093.5703,343874.1459,214205.0622
13,117772.9510,13534.8402,39916.4490,117789.5076,24562.2098,132308.5586,370925.7206,284036.8309
14,51401.6358,13468.2112,42714.6298,51377.3490,26001.5644,59606.4206,400847.2867,290351.0174
15,58577.6400,17057.1389,44209.8995,58512.4379,32897.7683,63914.0245,428852.0315,367045.5392
16,63687.0172,19412.3021,50431.3290,63672.6265,36410.9140,59095.6110,458996.6457,307902.3318
17,3999.2338,19998.4172,3999.2338,4293.0594,33557.6605,57289.2093,488899.9475,244839.3425
18,102788.8891,16925.2970,63820.3953,102592.8507,29318.1249,55540.8061,522395.8401,260849.2450
19,93566.1145,16199.7204,54876.0682,93294.0391,28434.2092,85794.0749,554153.4259,318505.4410
20,20321.4519,15580.6720,34185.2259,20318.0144,28121.0847,80456.8900,585406.9552,241022.5598
21,127910.4548,16688.5690,58515.7192,127895.0798,33087.8703,123022.2231,614252.3141,243838.9601
22,24496.6015,19577.4812,38116.6597,24429.3452,40247.0371,76652.8000,642989.8240,226690.1963
23,81145.4710,24156.6716,43734.0312,81129.1511,44983.6642,67413.9808,668357.6167,200364.8043
24,84681.8526,26847.5860,51663.1407,84587.8484,45404.8610,110726.8597,695953.5429,191837.2028
25,113037.3639,24234.9555,42071.1760,113008.1444,39319.7653,104625.6269,729248.8843,260319.5558
26,71725.6067,19715.4205,29447.8284,71682.8180,33954.8544,58138.7042,763826.1784,138226.5037
27,5855.3890,17338.2752,29675.9851,5900.0519,29186.8856,46631.5483,795866.5268,131480.1529
28,5984.9704,16235.8938,29349.7458,5879.5812,27258.6364,45645.1490,826564.1696,143457.5707
29,92344.7171,13803.9515,50412.4663,92344.3546,24234.6521,84863.4787,859290.9890,169061.1555
30,60147.7148,13032.2373,29129.6909,60147.0527,22465.0143,51585.8277,889752.0148,113101.3484
31,58261.1457,12224.0129,49949.5723,58137.4841,23466.3855,60298.7521,920508.4022,220698.9322
32,59540.5375,14449.0407,63803.2454,59505.8364,26569.3196,93070.8667,949341.5982,177603.7822
33,77976.2763,15484.0448,50269.7609,77958.9730,27115.9191,110828.3328,978619.5424,150861.7939
34,93115.4994,16357.5720,65546.4202,93053.8489,34021.8917,109659.6726,1007840.2563,169578.5886
35,22666.9479,20462.9876,37325.2131,22643.8942,39041.0187,101523.7335,1033833.0623,208126.9760
36,73410.3118,22389.3974,60806.8576,73358.5812,40203.1690,125214.8344,1063724.7771,142692.9863
37,103583.0299,24305.6444,92692.3644,103402.6569,53264.1393,142836.9274,1094270.5665,179613.3879
38,60091.2958,27702.3277,57098.3271,60060.1209,51221.6335,114561.4953,1122697.1670,149511.5868
39,56029.9552,31183.9426,57065.7648,55988.7939,57171.9680,125366.7720,1148745.2724,129088.7868
40,60132.3680,31215.3787,75020.5975,60109.6266,58465.2828,121790.6050,1178450.5612,112276.7021
41,31771.1662,32439.6929,48702.3068,31720.9786,54254.8926,98868.3005,1207753.1841,92070.2289
42,1727.0067,30418.3172,26777.6612,1750.4448,52672.1246,100245.1615,1239012.8147,57296.9195
43,32823.2074,29611.0016,62964.7989,32729.9427,57785.8806,104009.6103,1270420.4026,92646.1101
44,12584.4054,32938.6747,46103.4225,12374.1130,61210.8850,120370.7169,1298516.2391,75310.7758
45,43015.3671,34300.2032,59615.5823,42906.3221,58233.0553,110196.6393,1328693.5714,71671.4813
46,2169.2045,32063.5718,36197.7308,2098.7732,54029.8571,93021.0154,1361100.6920,46488.6452
47,19229.1355,29321.7762,29261.4499,19172.5526,53717.4237,84391.4009,1394936.8748,48920.5389
48,16441.7086,29536.5525,26770.6891,16394.5069,54777.0698,70435.1569,1426173.6103,37740.5652
49,8104.0287,29658.4573,17167.5301,8063.2462,50166.0020,48944.9353,1455910.5122,21714.4142
50,6067.8167,29852.9699,13355.1281,6037.0101,46513.7907,41318.8114,1485914.9950,15993.7406
51,12655.3062,27008.5220,12720.3305,12419.5863,21886.2643,17391.3401,1515424.4679,15496.0812
52,5332.9115,20268.5263,5333.3698,5045.1081,9593.7779,8599.7152,1546617.1635,6668.5474
53,6347.1107,15799.8953,6347.1353,14698.3440,11998.5245,18537.5915,1578854.1502,31380.6328
54,395.6627,27257.5036,395.6627,25764.7809,856.9347,427.3558,1612058.1999,441.0839
55,35102.6794,83168.8317,35069.7347,50307.2072,35900.7157,36300.7147,1646823.0270,36300.4470
56,1040.3403,78953.7736,1040.3403,79139.8532,4982.5196,1196.9465,1679166.0380,1233.4087
57,1926.0319,74360.2218,1926.0319,56702.6143,5834.7675,3044.9998,1703390.6193,2820.7141
58,1169.6841,71551.1645,1169.6841,31151.4768,5076.1031,1860.1997,1729758.3377,1832.9233
59,2476.4412,66738.8561,2476.4412,23887.8293,4573.9681,2491.7309,1756809.0330,2499.1525
60,184.8161,56434.9086,184.8161,1772.1905,692.6500,212.0448,1785415.1488,212.8098
61,8325.2746,59430.2701,8325.2746,21366.7141,15212.7542,11723.3079,1814556.6838,13620.6327
62,1774.3469,59255.9426,1774.3469,3184.7923,8254.1296,4814.9020,1844954.9070,3258.7669
63,1667.6696,53875.5003,1667.6696,6633.6295,6632.4103,1446.6112,1873241.3416,1424.4602
64,297.9950,46195.0760,297.9950,5385.3736,1403.9619,395.9861,1903810.8959,417.3524
65,328.5011,26962.3827,328.5011,5069.8781,803.1507,365.0438,1936037.3578,385.2038
66,1205.3174,8258.6530,1212.9637,6459.5257,1426.7344,1254.7167,1968851.5394,1278.3055
67,2116.9265,4242.8565,2116.9265,3743.3469,2413.0456,2306.7755,1998478.6876,2323.3332
68,1195.5630,3258.8243,1195.5630,2038.8892,1496.9603,1459.0178,2026611.9770,1356.2629
