frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,50939906.955083,2196093.000000
8,47448623.613193,2168202.000000
32768,39594884.921573,2103641.000000
64,48829179.321049,2149565.000000
16,46130684.837958,2114578.000000
512,47797863.959631,2250234.000000
128,51699721.368965,2144267.000000
4,48138863.188588,1961645.000000
32,48275339.105956,2148188.000000
4096,49552913.980472,2062059.000000
2,48062133.828299,2055357.000000
2048,53546604.719055,2218789.000000
256,51763982.458935,2249117.000000
16384,49552008.321131,1937513.000000
8192,49334691.008847,2270325.000000
65536,81309452.720507,2431958.000000
