frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
1024,49024717.505012,2239204.000000
4096,47789821.455005,2251749.000000
64,50650889.439007,2081378.000000
128,50001021.444604,2214727.000000
32,49313275.310008,2499409.000000
2,47574815.932747,2232679.000000
512,49447841.833723,2079407.000000
2048,52879428.555786,2178709.000000
4,47980164.351136,2086951.000000
65536,46506982.928095,2340283.000000
16,49090546.131745,2153338.000000
8,48513594.359200,2215361.000000
16384,53254010.843399,2141833.000000
8192,50130699.329723,2138342.000000
256,51457493.278669,2149691.000000
32768,66194175.537467,2226403.000000
