frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
65536,71075469.127490,1812674.000000
16384,76809629.117940,2251275.000000
8,77980742.845790,2139463.000000
2,78073570.781492,2170789.000000
512,80171931.640919,2187916.000000
128,80211934.921734,2086644.000000
1024,83748686.891354,2196937.000000
4096,81520954.937752,2192434.000000
4,79819907.309035,2208494.000000
16,78430218.541532,2199881.000000
32,79905432.197456,2198215.000000
256,82491216.620123,2348150.000000
2048,82081026.472407,2150944.000000
64,82156595.489985,2208655.000000
8192,86082907.872316,2243196.000000
32768,87288313.675899,2231866.000000
