frequency,Dynamic_njobs1_mode1_L2_norm_flow_time,Dynamic_njobs1_mode1_maximum_flow_time
65536,66537376.281191,2148999.000000
8192,73235646.444528,2248427.000000
1024,76877537.237785,2199362.000000
4,77442987.417436,2143768.000000
2,78658577.207938,2179256.000000
64,80714937.839498,2254874.000000
2048,82356570.233536,2202321.000000
4096,82548403.473183,2205011.000000
32,80745439.399423,2329986.000000
16,80511511.168684,2116612.000000
8,79354332.659770,2264173.000000
256,82482967.799678,2149609.000000
512,81086617.326627,2199424.000000
128,82605025.061366,2208968.000000
16384,86244433.356016,2306749.000000
32768,93059729.269814,2592423.000000
