frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
32768,12595.286579,12595.286579,12595.286579,12595.286579,12595.286579,12595.286579,12595.286579,11453.000000,11453.000000,11453.000000,11453.000000,11453.000000,11453.000000,11453.000000
16384,37063.381888,37063.381888,38142.565147,37063.381888,37063.381888,38142.565147,37063.381888,2872.000000,2872.000000,4937.000000,2872.000000,2872.000000,4937.000000,2872.000000
8,175743.164649,175743.164649,175743.164649,175743.164649,175743.164649,175743.164649,175743.164649,49222.000000,49222.000000,49222.000000,49222.000000,49222.000000,49222.000000,49222.000000
512,221379.167218,221379.167218,221379.167218,221379.167218,221379.167218,221379.167218,221379.167218,42720.000000,42720.000000,42720.000000,42720.000000,42720.000000,42720.000000,42720.000000
2048,129249.066759,129249.066759,113259.656357,129249.066759,129249.066759,113259.656357,113259.656357,34760.000000,34760.000000,38569.000000,34760.000000,34760.000000,38569.000000,38569.000000
4096,378201.582083,378201.582083,378201.582083,378201.582083,378201.582083,378201.582083,378201.582083,56726.000000,56726.000000,56726.000000,56726.000000,56726.000000,56726.000000,56726.000000
4,189843.838970,189843.838970,189843.838970,189843.838970,189843.838970,189843.838970,189843.838970,87425.000000,87425.000000,87425.000000,87425.000000,87425.000000,87425.000000,87425.000000
65536,130666.407772,130666.407772,130666.407772,130666.407772,130666.407772,130666.407772,130666.407772,43997.000000,43997.000000,43997.000000,43997.000000,43997.000000,43997.000000,43997.000000
64,197663.321509,197663.321509,197663.321509,197663.321509,197663.321509,197663.321509,197663.321509,45992.000000,45992.000000,45992.000000,45992.000000,45992.000000,45992.000000,45992.000000
1024,165631.731736,157223.923450,165631.731736,165631.731736,165631.731736,157748.846027,157748.846027,33904.000000,33904.000000,33904.000000,33904.000000,33904.000000,33991.000000,33991.000000
16,200155.458609,200155.458609,200155.458609,200155.458609,200155.458609,200155.458609,200155.458609,55638.000000,55638.000000,55638.000000,55638.000000,55638.000000,55638.000000,55638.000000
32,185296.456588,185296.456588,185296.456588,185296.456588,185296.456588,177444.834656,185296.456588,39706.000000,39706.000000,39706.000000,39706.000000,39706.000000,42469.000000,39706.000000
8192,133832.834600,133832.834600,133832.834600,133832.834600,133832.834600,133832.834600,133832.834600,46080.000000,46080.000000,46080.000000,46080.000000,46080.000000,46080.000000,46080.000000
2,223826.939384,223826.939384,223826.939384,223826.939384,223826.939384,223826.939384,223826.939384,49237.000000,49237.000000,49237.000000,49237.000000,49237.000000,49237.000000,49237.000000
128,229285.140644,229285.140644,229285.140644,229285.140644,229285.140644,229285.140644,229285.140644,46909.000000,46909.000000,46909.000000,46909.000000,46909.000000,46909.000000,46909.000000
256,162855.126794,162855.126794,162855.126794,162855.126794,162855.126794,162855.126794,162855.126794,34740.000000,34740.000000,34740.000000,34740.000000,34740.000000,34740.000000,34740.000000
